,experiment,n,objective,runtime
60,0.0,8.0,23.0,0.014014959335327148
61,1.0,8.0,23.0,0.014120101928710938
62,2.0,8.0,23.0,0.013693809509277344
63,3.0,8.0,23.0,0.013491153717041016
64,4.0,8.0,23.0,0.013296127319335938
65,5.0,8.0,23.0,0.013386964797973633
66,6.0,8.0,23.0,0.013334989547729492
67,7.0,8.0,23.0,0.013427019119262695
68,8.0,8.0,23.0,0.013486146926879883
69,9.0,8.0,23.0,0.01393890380859375
70,10.0,8.0,23.0,0.013278007507324219
71,11.0,8.0,23.0,0.013235807418823242
72,12.0,8.0,23.0,0.013941049575805664
73,13.0,8.0,23.0,0.013470888137817383
74,14.0,8.0,23.0,0.013374090194702148
75,15.0,8.0,23.0,0.013503074645996094
76,16.0,8.0,23.0,0.013456106185913086
77,17.0,8.0,23.0,0.013642072677612305
78,18.0,8.0,23.0,0.013411998748779297
79,19.0,8.0,23.0,0.01324009895324707
80,0.0,9.0,32.0,0.022669076919555664
81,1.0,9.0,32.0,0.022723913192749023
82,2.0,9.0,32.0,0.022413015365600586
83,3.0,9.0,32.0,0.02143406867980957
84,4.0,9.0,32.0,0.02190709114074707
85,5.0,9.0,32.0,0.021603107452392578
86,6.0,9.0,32.0,0.02095508575439453
87,7.0,9.0,32.0,0.021194934844970703
88,8.0,9.0,32.0,0.021466970443725586
89,9.0,9.0,32.0,0.02178215980529785
90,10.0,9.0,32.0,0.021438121795654297
91,11.0,9.0,32.0,0.021468162536621094
92,12.0,9.0,32.0,0.02223992347717285
93,13.0,9.0,32.0,0.0215909481048584
94,14.0,9.0,32.0,0.02192091941833496
95,15.0,9.0,32.0,0.02132701873779297
96,16.0,9.0,32.0,0.02116703987121582
97,17.0,9.0,32.0,0.02171611785888672
98,18.0,9.0,32.0,0.02155303955078125
99,19.0,9.0,32.0,0.02148604393005371
100,0.0,10.0,33.0,0.033740997314453125
101,1.0,10.0,33.0,0.034475088119506836
102,2.0,10.0,33.0,0.034484148025512695
103,3.0,10.0,33.0,0.03408098220825195
104,4.0,10.0,33.0,0.03386807441711426
105,5.0,10.0,33.0,0.03327488899230957
106,6.0,10.0,33.0,0.033249855041503906
107,7.0,10.0,33.0,0.035101890563964844
108,8.0,10.0,33.0,0.033447980880737305
109,9.0,10.0,33.0,0.03345918655395508
110,10.0,10.0,33.0,0.033514976501464844
111,11.0,10.0,33.0,0.03378105163574219
